"Manual Template";"Concur";"BeaconCRM";"SAP";"Final Output"
"Non-US";"-";"-";"";"Non-US"
"AK";"US-AK";"AK";"";"AK"
"AL";"US-AL";"AL";"";"AL"
"AR";"US-AR";"AR";"";"AR"
"AZ";"US-AZ";"AZ";"";"AZ"
"CA";"US-CA";"CA";"";"CA"
"CO";"US-CO";"CO";"";"CO"
"CT";"US-CT";"CT";"";"CT"
"DC";"US-DC";"DC";"";"DC"
"DE";"US-DC";"DE";"";"DE"
"FL";"US-FL";"FL";"";"FL"
"GA";"US-GA";"GA";"";"GA"
"HI";"US-HI";"HI";"";"HI"
"IA";"US-IA";"IA";"";"IA"
"ID";"US-ID";"ID";"";"ID"
"IL";"US-IL";"IL";"";"IL"
"IN";"US-IN";"IN";"";"IN"
"KS";"US-KS";"KS";"";"KS"
"KY";"US-KY";"KY";"";"KY"
"LA";"US-LA";"LA";"";"LA"
"MA";"US-MA";"MA";"";"MA"
"MD";"US-MD";"MD";"";"MD"
"ME";"US-ME";"ME";"";"ME"
"MI";"US-MI";"MI";"";"MI"
"MN";"US-MN";"MN";"";"MN"
"MO";"US-MO";"MO";"";"MO"
"MS";"US-MS";"MS";"";"MS"
"MT";"US-MT";"MT";"";"MT"
"NC";"US-NC";"NC";"";"NC"
"ND";"US-ND";"ND";"";"ND"
"NE";"US-NE";"NE";"";"NE"
"NH";"US-NH";"NH";"";"NH"
"NJ";"US-NJ";"NJ";"";"NJ"
"NM";"US-NM";"NM";"";"NM"
"NV";"US-NV";"NV";"";"NV"
"NY";"US-NY";"NY";"";"NY"
"OH";"US-OH";"OH";"";"OH"
"OK";"US-OK";"OK";"";"OK"
"OR";"US-OR";"OR";"";"OR"
"PA";"US-PA";"PA";"";"PA"
"PR";"US-PR";"PR";"";"PR"
"RI";"US-RI";"RI";"";"RI"
"SC";"US-SC";"SC";"";"SC"
"SD";"US-SD";"SD";"";"SD"
"TN";"US-TN";"TN";"";"TN"
"TX";"US-TX";"TX";"";"TX"
"UT";"US-UT";"UT";"";"UT"
"VA";"US-VA";"VA";"";"VA"
"VT";"US-VT";"VT";"";"VT"
